"Store","ActualSales","PredictedSales","CumulativeActual","CumulativePredicted","Predicted_Low","Predicted_Upper","cum.CI95.low","cum.CI95.high","avg.pred.sd","cum.pred.sd","AbsoluteEffect_Low","AbsoluteEffect_Mid","AbsoluteEffect_High","cum.abseffect.low","cum.abseffect.mid","cum.abseffect.high","Relative.Effect","probability","rsquare","start.period","end.period"
8161,10466.9829411765,10495.1800321137,177938.71,178418.060545932,9994.07054893557,10986.0027573498,169899.199331905,186762.046874947,309.426086950167,5260.24347815284,-519.019816173339,-28.1970909371976,472.9123922409,-8823.33687494676,-479.350545932393,8039.51066809529,-0.268667053360864,0.508500772797527,0.954097328737481,2017-10-01,2017-10-17
8162,10052.8447058824,9637.31920081108,170898.36,163834.426413788,9309.61770963393,9972.34752461449,158263.501063777,169529.907918446,207.905254471663,3534.38932601828,80.4971812678638,415.525505071273,743.226996248418,1368.45208155369,7063.93358621161,12634.8589362231,4.3116295767842,0.978639240506329,0.946504745968944,2017-10-01,2017-10-17
8166,14372.1070588235,14412.1647736963,244325.82,245006.801152837,12985.9675033747,15916.2151356778,220761.447557369,270575.657306523,903.399735067145,15357.7954961415,-1544.10807685432,-40.0577148727825,1386.13955544887,-26249.8373065234,-680.981152837281,23564.3724426308,-0.277943775288304,0.505376344086022,0.939777502335915,2017-10-01,2017-10-17
8274,12216.3347058824,12132.4741757575,207677.69,206252.060987877,11229.6292943187,13009.9644483548,190903.698003417,221169.395622031,541.943959077332,9213.04730431465,-793.629742472407,83.8605301248936,986.705411563685,-13491.7056220309,1425.62901212319,16773.9919965827,0.691207159479966,0.553209459459459,0.96077103437004,2017-10-01,2017-10-17
8303,8258.66411764706,8413.40158569145,140397.29,143027.826956755,8107.31219547443,8729.79879130615,137824.307323065,148406.579452205,190.836424144404,3244.21921045487,-471.134673659089,-154.737468044388,151.351922172633,-8009.28945220452,-2630.53695675457,2572.98267693476,-1.83917844011568,0.793859649122807,0.96612294298229,2017-10-01,2017-10-17
8308,7493.22058823529,7534.11731427595,127384.75,128079.994342691,6990.93072985914,8077.68358018763,118845.822407605,137320.62086319,333.662458183022,5672.26178911137,-584.462991952335,-40.8967260406553,502.289858376152,-9935.87086318969,-695.244342691149,8538.92759239459,-0.542820403966401,0.563333333333333,0.847436866128808,2017-10-01,2017-10-17
8353,14504.9441176471,13361.5460284667,246584.05,227146.282483934,12167.9775341502,14742.4200959265,206855.618080553,250621.141630751,785.610450456778,13355.3776577652,-237.475978279489,1143.39808918033,2336.96658349688,-4037.09163075132,19437.7675160657,39728.4319194469,8.55737866519582,0.919163763066202,0.945366096241873,2017-10-01,2017-10-17
8355,14389.8247058824,14245.275717213,244627.02,242169.687192621,13607.3118034725,14886.2404962968,231324.300659032,253066.088437045,379.806097923657,6456.70366470217,-496.415790414438,144.548988669341,782.512902409858,-8439.06843704544,2457.33280737879,13302.7193409676,1.01471527500642,0.651376146788991,0.969261985704181,2017-10-01,2017-10-17
8357,8275.01352941176,8123.30150649004,140675.23,138096.125610331,7622.41212438236,8611.93695163592,129581.0061145,146402.928177811,301.815643268817,5130.8659355699,-336.923422224159,151.712022921728,652.601405029403,-5727.6981778107,2579.10438966937,11094.2238854999,1.8676153138046,0.698402130492676,0.960956502223992,2017-10-01,2017-10-17
8398,10343.3335294118,9839.50779267123,175836.67,167271.632475411,8653.48123480109,11099.5228792576,147109.180991618,188691.888947379,747.25111930545,12703.2690281927,-756.189349845826,503.825736740529,1689.85229461068,-12855.218947379,8565.03752458902,28727.4890083816,5.12043638113478,0.763954270342972,0.948978916719882,2017-10-01,2017-10-17
8408,6118.49588235294,6021.80279949685,104014.43,102370.647591446,5651.45000785177,6387.8479346551,96074.6501334801,108593.414889137,223.975949324309,3807.59113851326,-269.352052302161,96.6930828560935,467.045874501171,-4578.98488913674,1643.78240855358,7939.77986651991,1.60571652834883,0.686671318911375,0.891571017427401,2017-10-01,2017-10-17
